Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Benchmark 2010 Status,2010 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2)
4227/032,1278 INDIANA ST,1278 INDIANA ST,94107,"1278 INDIANA ST
San Francisco, CA 94107
(37.75427, -122.390829)",11000,,http://propertymap.sfplanning.org/?&search=4227/032,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3788/015,679 3RD ST,679 3RD ST,94107,"679 3RD ST
San Francisco, CA 94107
(37.779082, -122.393056)",20878,,http://propertymap.sfplanning.org/?&search=3788/015,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3547/001,SF Armory,1800 MISSION ST,94103,"1800 MISSION ST
San Francisco, CA 94103
(37.767878, -122.419942)",200000,Mixed Use Property,http://propertymap.sfplanning.org/?&search=3547/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,14.3,,-54.1,,468.79,,14.3,,,15.5,45.4,-66.3,,493.4,,15.4,45.3,,16.9,46.1,-45.8,-45.8,504.3,2.5,16.6,45.4,100,16.2,44,-72,-72,245.3,1.2,16.3,44.1,100,14.3,38.6,-75.4,-75.4,215.7,1.1,14.3,38.6
0271/001,455-465 Grant,465 GRANT AVE,94108,"465 GRANT AVE
San Francisco, CA 94108
(37.791327, -122.405716)",29489,Hotel,http://propertymap.sfplanning.org/?&search=0271/001,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,70.1,104.3,-1.3,,124.97,,68.2,102.3,,70.4,101,-37.7,-37.7,123.5,4.2,71.2,101.9,,59.6,89.3,-44.9,-44.9,104,3.5,66.6,96.7,,55.9,82,-49.4,-49.4,96.8,3.3,58.1,84.3
0325/031,Hilton San Francisco Union Square,333 OFARRELL ST,94102,"333 OFARRELL ST
San Francisco, CA 94102
(37.786069, -122.410864)",1964250,Hotel,http://propertymap.sfplanning.org/?&search=0325/031,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,54,69.1,,-4.2,,,,70.3,,59,65.3,136.3,-8.3,,,,68.3,145.7,51,70.7,138.5,-1,-1,,,70.7,138.5,45,68.8,138.1,4.4,4.4,,,69.5,137.4,51,63.7,132.5,-1.6,-1.6,,,63.3,131.3
0285/006,450 Sutter,450 SUTTER ST,94108,"450 SUTTER ST
San Francisco, CA 94108
(37.789331, -122.407788)",375257,Medical Office,http://propertymap.sfplanning.org/?&search=0285/006,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Pending,76,76.5,,-32.5,,1536.93,,74.4,,78,71.3,173.1,-35.2,,1450.8,,69.1,170.7,73,63.5,149.6,-31.8,-31.8,1207,4.5,63.9,150,75,56.7,142.1,-33.5,-33.5,1108.1,4.1,60.1,145.6,77,55.1,138.1,-36.3,-36.3,1077.8,4,56.7,139.7
1180/015,834 DIVISADERO ST,834 DIVISADERO ST,94117,"834 DIVISADERO ST
San Francisco, CA 94117
(37.777394, -122.438243)",10130,,http://propertymap.sfplanning.org/?&search=1180/015,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079/003,Sinai Memorial Chapel,1501 DIVISADERO ST,94115,"1501 DIVISADERO ST
San Francisco, CA 94115
(37.783662, -122.439601)",30226,Other,http://propertymap.sfplanning.org/?&search=1079/003,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Pending,,,,,,,,,,,48.1,77.8,-31.3,,84.84,,45.9,74.4,,41.1,64.8,-47.4,-47.4,74.9,2.5,38.1,61.5,,42.8,68.5,-44.4,-44.4,78.4,2.6,51.8,77.8,,34.4,57.8,-53.1,-53.1,64.1,2.1,37,60.5
3643/010A,2790 MISSION ST,2790 MISSION ST,94110,"2790 MISSION ST
San Francisco, CA 94110
(37.752419, -122.41846)",24410,Mixed Use Property,http://propertymap.sfplanning.org/?&search=3643/010A,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.9,108.7,-11.7,-11.7,88.1,3.6,54.9,108.7,,57.3,116.4,-5.5,-5.5,93,3.8,57.3,116.4
0329/005,Flood Building,870 MARKET ST,94102,"870 MARKET ST
San Francisco, CA 94102
(37.784761, -122.407108)",293837,Office,http://propertymap.sfplanning.org/?&search=0329/005,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,100,23.8,,-79.5,,590.78,,21.9,,100,22.1,48.3,-81,,547.27,,20.9,46.9,100,18,37.6,-84.4,-84.3,468,1.6,16.2,35.3,100,13.7,31.8,-86.2,-86.2,303.1,1,16.4,35,100,17.4,35.8,-84.7,-84.7,374.1,1.3,18.7,37.1
3514/039,170 SOUTH VAN NESS AVE,170 SOUTH VAN NESS AVE,94103,"170 SOUTH VAN NESS AVE
San Francisco, CA 94103
(37.770683, -122.417948)",21247,Wholesale Club/Supercenter,http://propertymap.sfplanning.org/?&search=3514/039,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2014,Pending,,,,,,,,,,,,,,,,,,,7,101.1,299.8,,,170,8,101.1,299.8,5,99.1,298.6,,,168,7.9,99.1,298.6,3,111,331.3,,,187.3,8.8,112.3,332.7
3754/049,Oscar Printing,43 COLUMBIA SQUARE ST,94103,"43 COLUMBIA SQUARE ST
San Francisco, CA 94103
(37.777185, -122.405614)",19384,Other - Services,http://propertymap.sfplanning.org/?&search=3754/049,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,,21.8,68.5,-31.7,-31.7,30.1,1.8,21.8,68.5,,20.2,63.4,-36.9,-36.9,27.8,1.6,20.2,63.4,,18.8,59.2,,,26,1.5,18.8,59.2
3504/019,74 OTIS ST,74 OTIS ST,94103,"74 OTIS ST
San Francisco, CA 94103
(37.772007, -122.420025)",29500,Office,http://propertymap.sfplanning.org/?&search=3504/019,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,62,53.4,137.4,,,96.6,3.9,50.7,134.5,69,45.6,119,,,83,3.4,49.8,123.4,72,45.1,117.3,,,81.9,3.3,47,119.2
0268/006,The Mills Building,220 BUSH ST,94104,"220 BUSH ST
San Francisco, CA 94104
(37.791124, -122.401272)",628264,Office,http://propertymap.sfplanning.org/?&search=0268/006,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Exempt - LEED EBOM,92,50.4,,-49.2,,2633.59,,48.8,,95,48.9,128,-53.9,,2417.35,,48.1,127.2,95,46.7,115.3,-55.2,-55.2,2143.6,3.6,47,115.6,96,41.6,107.1,-57.6,-57.6,1838.7,3.1,44.7,110.4,98,40.6,101.7,-61.9,-61.9,1770.8,3,42.4,103.7
3707/006,Alexander Book Company,48 2ND ST,94105,"48 2ND ST
San Francisco, CA 94105
(37.78869, -122.400666)",12250,Other - Mall,http://propertymap.sfplanning.org/?&search=3707/006,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,28,84.8,-64.2,-64.3,29.5,2.4,27.9,84.7,,26.1,80.4,-66.2,-66.2,25.8,2.1,26.1,80.4,,22.9,67,-71.8,-71.8,22,1.8,23.2,67.3
3973/002D,445 HAMPSHIRE ST,445 HAMPSHIRE ST,94110,"445 HAMPSHIRE ST
San Francisco, CA 94110
(37.763678, -122.408393)",16689,,http://propertymap.sfplanning.org/?&search=3973/002D,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007/008,3220 SACRAMENTO ST,3220 SACRAMENTO ST,94115,"3220 SACRAMENTO ST
San Francisco, CA 94115
(37.78831, -122.445963)",17000,K-12 School,http://propertymap.sfplanning.org/?&search=1007/008,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,93,32.2,73.3,-43.7,-43.8,40.3,2.4,29.7,70.7,97,20.1,61.3,-50.5,-50.5,27.5,1.6,20.4,61.6,95,27.3,65.7,-47.7,-47.7,33.2,2,28.6,67.1
0316/018A,Curran Theater,445 GEARY ST,94102,"445 GEARY ST
San Francisco, CA 94102
(37.787053, -122.410628)",29641,,http://propertymap.sfplanning.org/?&search=0316/018A,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - New Construction,4/1/2014,Complied,,,,,,,,,,,9196.9,11128.3,19893.2,,21522.1,,9196.9,11128.3,,6944.8,8414.4,9786.8,9786.8,13682,461.6,6944.8,8414.4,,16.1,47.1,-44.6,-44.6,38.1,1.3,16.1,47.1,,,,,,,,,
3923/003,1504 Bryant,1504 BRYANT ST,94103,"1504 BRYANT ST
San Francisco, CA 94103
(37.768011, -122.410724)",35000,Mixed Use Property,http://propertymap.sfplanning.org/?&search=3923/003,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Violation - Insufficient Data,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,11.8,29.3,-76.2,-76.2,29.9,0.9,11.1,28.7,,10.7,27.5,-77.7,-77.7,27.6,0.8,10.9,27.7,,10.7,26.3,-78.7,-78.7,27.1,0.8,10.7,26.3
3968/001,440 ALABAMA ST,440 ALABAMA ST,94110,"440 ALABAMA ST
San Francisco, CA 94110
(37.763829, -122.412256)",51270,,http://propertymap.sfplanning.org/?&search=3968/001,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Complied,,Violation - Did Not Report,,4/1/2013,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,43.9,-70.3,-70.3,60,1.5,29.7,50.3,,,,,,,,,
3710/017,350 Mission Street,350 MISSION ST,94105,"350 MISSION ST
San Francisco, CA 94105
(37.790626, -122.396479)",94697,,http://propertymap.sfplanning.org/?&search=3710/017,Exempt,Exempt - New Construction,Complied,,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,4/1/2020,Upcoming,100,14.6,,-82.5,,123.4,,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449/025,YMCA Richmond,360 18TH AVE,94121,"360 18TH AVE
San Francisco, CA 94121
(37.781217, -122.477302)",19500,Other,http://propertymap.sfplanning.org/?&search=1449/025,Exempt,Exempt - SqFt Not Subject This Year,Violation - Insufficient Data,,Violation - Insufficient Data,,Complied,,Complied,,Complied,,4/1/2014,Pending,,,,,,,,,,,,,,,,,,,,23.1,69,-44,-44,35.8,1.8,22.8,68.2,,20.7,65.1,-47.1,-47.1,33,1.7,20.7,65.1,,20.1,63.2,-48.7,-48.7,32,1.6,20.1,63.2
3706/001,Central Tower,703 MARKET ST,94103,"703 MARKET ST
San Francisco, CA 94103
(37.787558, -122.403576)",160345,,http://propertymap.sfplanning.org/?&search=3706/001,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,11/15/2012,Complied,89,55.9,,-43.9,,562.42,,55.9,,98,43.8,115.3,-62.5,,607.46,,43.3,114.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
3514/022,Discount Builders Supply,1695 MISSION ST,94103,"1695 MISSION ST
San Francisco, CA 94103
(37.770654, -122.419791)",55600,Retail Store,http://propertymap.sfplanning.org/?&search=3514/022,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,90,33.6,,-44.8,,87.85,,31.5,,94,32.7,74.2,-58.3,,84,,31.5,72.8,95,31.7,72.6,-58.1,-58.1,79,2.2,29.4,69.7,97,24.2,62.6,-63.6,-63.6,63.7,1.8,24.2,62.6,99,20.5,49.4,-71.4,-71.4,52.2,1.5,22.5,51.5
0296/013D,533 SUTTER ST,533 SUTTER ST,94102,"533 SUTTER ST
San Francisco, CA 94102
(37.789178, -122.409117)",12840,Performing Arts,http://propertymap.sfplanning.org/?&search=0296/013D,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,4/1/2013,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4,202.1,,,67.4,5.2,62.6,196.6,,64.3,202,,,67.4,5.2,63.6,199.7
0667/005,1430 BUSH ST,1430 BUSH ST,94109,"1430 BUSH ST
San Francisco, CA 94109
(37.788617, -122.420955)",13000,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",http://propertymap.sfplanning.org/?&search=0667/005,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,,15.9,33.9,-72.4,-72.5,14.7,1.1,15.9,34,,14.9,35,-65.1,-65.1,13.7,1.1,15.7,35.7,,14.7,35.4,-64.7,-64.7,13.7,1.1,14.9,35.7
1064/060,3330 GEARY BLVD,3330 GEARY BLVD,94118,"3330 GEARY BLVD
San Francisco, CA 94118
(37.781586, -122.454736)",19913,Office,http://propertymap.sfplanning.org/?&search=1064/060,Exempt,Exempt - SqFt Not Subject This Year,Exempt,,Exempt,,Exempt,,Exempt,Exempt - Change of Ownership,Complied,,4/1/2015,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8,83.2,-43.8,-43.8,57.9,2.9,45.8,83.2
0023/002,Euro Properties,505 BEACH ST,94133,"505 BEACH ST
San Francisco, CA 94133
(37.807031, -122.417639)",21630,Office,http://propertymap.sfplanning.org/?&search=0023/002,Exempt,Exempt - SqFt Not Subject This Year,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,38,77.4,142.3,13.1,13.1,112.2,4.9,78,143,,104.9,203.4,37.4,37.4,148,6.8,112.7,211.6,,79.7,156,5.4,5.4,112.8,5.2,83.2,159.8
0228/013,500 Montgomery Street,500 MONTGOMERY ST,94111,"500 MONTGOMERY ST
San Francisco, CA 94111
(37.793939, -122.403004)",17795,Office,http://propertymap.sfplanning.org/?&search=0228/013,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,57,48,111.6,-8,-8.1,63.5,3.6,48,111.6,63,55.2,133.7,-13.6,-13.6,70.5,4,60.1,138.9,61,62.9,141.9,-12.4,-12.4,77.8,4.4,67.1,146.3
0311/015,One Post Street,600 MARKET ST,94104,"600 MARKET ST
San Francisco, CA 94104
(37.788523, -122.402339)",459078,Office,http://propertymap.sfplanning.org/?&search=0311/015,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Exempt - LEED EBOM,91,52,,-47,,2082.31,,49.5,,92,50.1,133.3,-48.7,,2007.45,,48.9,131.8,92,50.1,126.9,-47.9,-47.9,1768.9,3.8,50.3,127.2,91,47.8,127.9,-46.6,-46.6,1713.5,3.7,49.9,130.3,91,50,134.2,,,1882.8,4.1,50.9,134.2
3654/041,10379-Noe Valley,3950 24th Street,94114,"3950 24th Street
San Francisco, CA 94114
(37.751497, -122.430832)",25187,Supermarket/Grocery Store,http://propertymap.sfplanning.org/?&search=3654/041,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2016,Pending,,,,,,,,,,,,,,,,,,,12,245.4,559.3,33.5,33.5,431.6,17.1,242.2,555.9,12,222.5,531.1,33.9,33.9,399.5,15.9,228.1,537,12,226.6,535.4,33.5,33.5,405,16.1,228.2,537.2
0267/009,The Heineman Building (130 Bush St),130 BUSH ST,94104,"130 BUSH ST
San Francisco, CA 94104
(37.791259, -122.400143)",14100,Office,http://propertymap.sfplanning.org/?&search=0267/009,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Violation - Did Not Report,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,108,189.2,49.6,49.6,95.4,6.8,110.1,191.4,27,95.4,165,28,28,83.9,6,95.4,165
0329/001,800 Market Street,800 MARKET ST,94102,"800 MARKET ST
San Francisco, CA 94102
(37.785293, -122.406444)",53715,Office,http://propertymap.sfplanning.org/?&search=0329/001,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,87.8,,55.1,,303.73,,87.8,,78,70.5,171,-30.8,,287.19,,78.2,186.9,79,70.6,165.2,-32.5,-32.5,282.8,5.3,68.2,163.3,80,67.4,164.7,-33.6,-33.6,260.9,4.9,70.5,165.2,82,65.2,161.5,-35.5,-35.5,254,4.7,66.2,160.8
3910/001,SF Design Center - Showplace,2 HENRY ADAMS ST,94103,"2 HENRY ADAMS ST
San Francisco, CA 94103
(37.769163, -122.403954)",328873,Enclosed Mall,http://propertymap.sfplanning.org/?&search=3910/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,73,27.9,,-27.7,,828.74,,27.4,,79,26.2,86.6,-34.8,,778.33,,26.3,86.6,,25,77.2,-67.2,-67.2,714.9,2.2,25.2,78.3,,23.3,72.5,-69.2,-69.2,622.3,1.9,23.3,72.5,,20.7,63.7,-72.9,-72.9,549.1,1.7,20.5,62.8
0103/014A,1620 STOCKTON ST,1620 STOCKTON ST,94133,"1620 STOCKTON ST
San Francisco, CA 94133
(37.800796, -122.409249)",11446,Other,http://propertymap.sfplanning.org/?&search=0103/014A,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,,75.6,137,11.2,11.2,54.9,4.8,75.6,137,,78.7,141.1,14.6,14.6,57,5,78.7,141.1,,81.4,145.3,18,18,58.8,5.1,81.4,145.3
3708/057,Market Center (555),555 MARKET ST,94105,"555 MARKET ST
San Francisco, CA 94105
(37.79022, -122.400191)",342238,Office,http://propertymap.sfplanning.org/?&search=3708/057,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Exempt - LEED EBOM,85,79.8,,-37.4,,2218.33,,75.2,,79,82.1,191.2,-31,,2333.3,,81.1,190.7,82,73.9,179.3,-34.9,-34.9,1807.8,5.6,74,179.5,86,65.8,165,-39.1,-39.1,1624.5,5,68.2,167.9,93,54.4,135.9,,,1340.9,4.2,55.8,137.5
0324/002,345 TAYLOR ST,345 TAYLOR ST,94102,"345 TAYLOR ST
San Francisco, CA 94102
(37.785641, -122.41126)",50403,Hotel,http://propertymap.sfplanning.org/?&search=0324/002,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - Change of Ownership,Complied,,4/1/2014,Complied,75,100.7,157.2,-22.5,-22.5,328.7,6.2,95.6,151.8,75,102,156.3,-22.4,-22.4,330.5,6.2,97.1,151.1,79,97.4,148.9,-25.8,-25.8,315.1,5.9,93,144.3,,,,,,,,,,91,71.6,117.9,-39.7,-39.7,220.8,4.4,71.6,117.9
6954/039,915 CAYUGA AVE,915 CAYUGA AVE,94112,"915 CAYUGA AVE
San Francisco, CA 94112
(37.723216, -122.439059)",13455,,http://propertymap.sfplanning.org/?&search=6954/039,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,33.7,67.2,-45.5,-45.5,27.9,2.2,32.2,64.3,,33.5,66.3,-46.2,-46.2,27.6,2.2,35.9,70.8,,,,,,,,,
0343/031,Golden Gate Theater,1 TAYLOR ST,94102,"1 TAYLOR ST
San Francisco, CA 94102
(37.782588, -122.410655)",146793,Performing Arts,http://propertymap.sfplanning.org/?&search=0343/031,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,,1155.9,,1400.1,,13401.31,,1155.9,,,524.9,643.3,1041.1,,6088.98,,524.9,643.3,,1595.9,1936,2174.8,2174.8,15572.4,106.1,1596,1936.2,,10.8,31.9,-62.5,-62.5,125.5,0.9,10.8,31.9,,6.2,17,-80,-80,69.6,0.5,6.2,17
0309/024,251 Post Street,251 POST ST,94108,"251 POST ST
San Francisco, CA 94108
(37.788495, -122.406786)",44573,Office,http://propertymap.sfplanning.org/?&search=0309/024,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Pending,,,,,,,,,,79,41.6,124.3,-30.5,,164.78,,41.2,123.9,99,17.3,51,-69.3,-69.3,61.7,1.4,17.3,51.1,99,18.6,53.4,-66.9,-66.9,65.9,1.5,18.6,53.4,99,20.2,51.2,-68.7,-68.7,69.2,1.6,20.2,51.2
1078/029,2233 POST ST,2233 POST ST,94115,"2233 POST ST
San Francisco, CA 94115
(37.784458, -122.438617)",17155,,http://propertymap.sfplanning.org/?&search=1078/029,Exempt,Exempt - SqFt Not Subject This Year,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0306/009,476 GEARY ST,476 GEARY ST,94102,"476 GEARY ST
San Francisco, CA 94102
(37.786995, -122.411079)",18720,Hotel,http://propertymap.sfplanning.org/?&search=0306/009,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - Change of Ownership,Violation - Did Not Report,,Complied,,Complied,,4/1/2013,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,74.4,142.6,,,90.4,4.8,77.8,145,82,75.5,142.6,,,91.2,4.9,77,144.2
3212/023,352 OCEAN AVE,352 OCEAN AVE,94112,"352 OCEAN AVE
San Francisco, CA 94112
(37.723015, -122.443812)",12402,,http://propertymap.sfplanning.org/?&search=3212/023,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0290/011,One Bush Street,1 BUSH ST,94104,"1 BUSH ST
San Francisco, CA 94104
(37.791258, -122.400152)",439099,Office,http://propertymap.sfplanning.org/?&search=0290/011,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Exempt - LEED EBOM,95,93,,-41.9,,2562.16,,89.4,,95,93.8,254,-42.3,,2571.74,,93.8,254,76,71.1,183.1,-25.8,-25.8,2108.3,5.5,71.2,183.3,95,70.2,191,-43,-43,2112.5,5.5,71.2,190.5,96,67.8,183.3,-46.9,-46.9,2036.6,5.3,68.2,182.6
3785/022,149 BLUXOME ST,149 BLUXOME ST,94107,"149 BLUXOME ST
San Francisco, CA 94107
(37.775106, -122.3991)",23456,Office,http://propertymap.sfplanning.org/?&search=3785/022,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,51.6,154.9,,,79.3,4.1,49.8,149.3,42,56.2,155.3,,,82.9,4.3,56.6,153.2
0117/010,678 GREEN ST,678 GREEN ST,94133,"678 GREEN ST
San Francisco, CA 94133
(37.79936, -122.41022)",16380,,http://propertymap.sfplanning.org/?&search=0117/010,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
